,date,weekday,holiday
123,16/6/33,quinta-feira,Corpus Christi
124,7/9/33,quarta-feira,Independência do Brasil
125,12/10/33,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
126,2/11/33,quarta-feira,Finados
127,15/11/33,terça-feira,Proclamação da República
128,20/11/33,domingo,Dia Nacional de Zumbi e da Consciência Negra
129,25/12/33,domingo,Natal
130,1/1/34,domingo,Confraternização Universal
131,20/2/34,segunda-feira,Carnaval
132,21/2/34,terça-feira,Carnaval
133,7/4/34,sexta-feira,Paixão de Cristo
134,21/4/34,sexta-feira,Tiradentes
135,1/5/34,segunda-feira,Dia do Trabalho
136,8/6/34,quinta-feira,Corpus Christi
137,7/9/34,quinta-feira,Independência do Brasil
138,12/10/34,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
139,2/11/34,quinta-feira,Finados
140,15/11/34,quarta-feira,Proclamação da República
141,20/11/34,segunda-feira,Dia Nacional de Zumbi e da Consciência Negra
142,25/12/34,segunda-feira,Natal
143,1/1/35,segunda-feira,Confraternização Universal
144,5/2/35,segunda-feira,Carnaval
145,6/2/35,terça-feira,Carnaval
146,23/3/35,sexta-feira,Paixão de Cristo
147,21/4/35,sábado,Tiradentes
148,1/5/35,terça-feira,Dia do Trabalho
149,24/5/35,quinta-feira,Corpus Christi
150,7/9/35,sexta-feira,Independência do Brasil
151,12/10/35,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
152,2/11/35,sexta-feira,Finados
153,15/11/35,quinta-feira,Proclamação da República
154,20/11/35,terça-feira,Dia Nacional de Zumbi e da Consciência Negra
155,25/12/35,terça-feira,Natal
156,1/1/36,terça-feira,Confraternização Universal
157,25/2/36,segunda-feira,Carnaval
158,26/2/36,terça-feira,Carnaval
159,11/4/36,sexta-feira,Paixão de Cristo
160,21/4/36,segunda-feira,Tiradentes
161,1/5/36,quinta-feira,Dia do Trabalho
162,12/6/36,quinta-feira,Corpus Christi
163,7/9/36,domingo,Independência do Brasil
164,12/10/36,domingo,Nossa Sr.a Aparecida - Padroeira do Brasil
165,2/11/36,domingo,Finados
166,15/11/36,sábado,Proclamação da República
167,20/11/36,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
168,25/12/36,quinta-feira,Natal
169,1/1/37,quinta-feira,Confraternização Universal
170,16/2/37,segunda-feira,Carnaval
171,17/2/37,terça-feira,Carnaval
172,3/4/37,sexta-feira,Paixão de Cristo
173,21/4/37,terça-feira,Tiradentes
174,1/5/37,sexta-feira,Dia do Trabalho
175,4/6/37,quinta-feira,Corpus Christi
176,7/9/37,segunda-feira,Independência do Brasil
177,12/10/37,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
178,2/11/37,segunda-feira,Finados
179,15/11/37,domingo,Proclamação da República
180,20/11/37,sexta-feira,Dia Nacional de Zumbi e da Consciência Negra
181,25/12/37,sexta-feira,Natal
182,1/1/38,sexta-feira,Confraternização Universal
183,8/3/38,segunda-feira,Carnaval
184,9/3/38,terça-feira,Carnaval
185,21/4/38,quarta-feira,Tiradentes
186,23/4/38,sexta-feira,Paixão de Cristo
187,1/5/38,sábado,Dia do Trabalho
188,24/6/38,quinta-feira,Corpus Christi
189,7/9/38,terça-feira,Independência do Brasil
190,12/10/38,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
191,2/11/38,terça-feira,Finados
192,15/11/38,segunda-feira,Proclamação da República
193,20/11/38,sábado,Dia Nacional de Zumbi e da Consciência Negra
194,25/12/38,sábado,Natal
195,1/1/39,sábado,Confraternização Universal
196,21/2/39,segunda-feira,Carnaval
197,22/2/39,terça-feira,Carnaval
198,8/4/39,sexta-feira,Paixão de Cristo
199,21/4/39,quinta-feira,Tiradentes
200,1/5/39,domingo,Dia do Trabalho
201,9/6/39,quinta-feira,Corpus Christi
202,7/9/39,quarta-feira,Independência do Brasil
203,12/10/39,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
204,2/11/39,quarta-feira,Finados
205,15/11/39,terça-feira,Proclamação da República
206,20/11/39,domingo,Dia Nacional de Zumbi e da Consciência Negra
207,25/12/39,domingo,Natal
208,1/1/40,domingo,Confraternização Universal
209,13/2/40,segunda-feira,Carnaval
